source,term_name,term_id,adjusted_p_value,negative_log10_of_adjusted_p_value,term_size,query_size,intersection_size,effective_domain_size,intersections
HP,High anterior hairline,HP:0009890,1,0,70,72,1,3143,WBGENE00008527
HP,Aplasia/hypoplasia affecting bones of the axial skeleton,HP:0009122,1,0,948,72,26,3143,"WBGENE00001062,WBGENE00001642,WBGENE00001695,WBGENE00003601,WBGENE00003662,WBGENE00003671,WBGENE00004507,WBGENE00004750,WBGENE00006471,WBGENE00006556,WBGENE00006557,WBGENE00006559,WBGENE00006953,WBGENE00007699,WBGENE00007887,WBGENE00007977,WBGENE00008158,WBGENE00008527,WBGENE00010017,WBGENE00011779,WBGENE00013067,WBGENE00013072,WBGENE00016306,WBGENE00016778,WBGENE00021617,WBGENE00044662"
HP,Abnormal adipose tissue morphology,HP:0009124,1,0,375,72,15,3143,"WBGENE00001062,WBGENE00003601,WBGENE00003662,WBGENE00003671,WBGENE00004750,WBGENE00006471,WBGENE00006556,WBGENE00006557,WBGENE00006559,WBGENE00007753,WBGENE00008158,WBGENE00010017,WBGENE00013067,WBGENE00020354,WBGENE00021617"
HP,Lipodystrophy,HP:0009125,1,0,269,72,10,3143,"WBGENE00001062,WBGENE00003601,WBGENE00003662,WBGENE00003671,WBGENE00006471,WBGENE00008158,WBGENE00010017,WBGENE00013067,WBGENE00020354,WBGENE00021617"
HP,Abnormality of the musculature of the limbs,HP:0009127,1,0,709,72,26,3143,"WBGENE00001062,WBGENE00002260,WBGENE00003601,WBGENE00003662,WBGENE00003671,WBGENE00004507,WBGENE00004750,WBGENE00006471,WBGENE00006556,WBGENE00006557,WBGENE00006559,WBGENE00007699,WBGENE00008158,WBGENE00008527,WBGENE00009695,WBGENE00010017,WBGENE00010254,WBGENE00011779,WBGENE00012233,WBGENE00012516,WBGENE00013067,WBGENE00013184,WBGENE00016778,WBGENE00019406,WBGENE00020354,WBGENE00021617"
HP,Upper limb amyotrophy,HP:0009129,1,0,83,72,1,3143,WBGENE00012516
HP,Localized hirsutism,HP:0009889,1,0,24,72,4,3143,"WBGENE00004750,WBGENE00006556,WBGENE00006557,WBGENE00006559"
HP,Hand muscle atrophy,HP:0009130,1,0,68,72,1,3143,WBGENE00012516
HP,Duplication involving bones of the feet,HP:0009136,1,0,122,72,7,3143,"WBGENE00001695,WBGENE00004750,WBGENE00006556,WBGENE00006557,WBGENE00006559,WBGENE00006953,WBGENE00008527"
HP,Synostosis involving bones of the lower limbs,HP:0009138,1,0,35,72,4,3143,"WBGENE00004750,WBGENE00006556,WBGENE00006557,WBGENE00006559"
HP,Synostosis involving bones of the feet,HP:0009140,1,0,35,72,4,3143,"WBGENE00004750,WBGENE00006556,WBGENE00006557,WBGENE00006559"
HP,Abnormality of secondary sexual hair,HP:0009888,1,0,50,72,5,3143,"WBGENE00004750,WBGENE00006556,WBGENE00006557,WBGENE00006559,WBGENE00016777"
HP,Tapered distal phalanges of finger,HP:0009884,1,0,16,72,2,3143,"WBGENE00013072,WBGENE00016306"
HP,Duplication of bones involving the upper extremities,HP:0009142,1,0,184,72,9,3143,"WBGENE00001695,WBGENE00004750,WBGENE00005013,WBGENE00006556,WBGENE00006557,WBGENE00006559,WBGENE00006953,WBGENE00008527,WBGENE00019406"
HP,Upper limb undergrowth,HP:0009824,1,0,69,72,6,3143,"WBGENE00001695,WBGENE00004750,WBGENE00006556,WBGENE00006557,WBGENE00006559,WBGENE00006953"
HP,Median cleft palate,HP:0009099,1,0,46,72,1,3143,WBGENE00007977
HP,Radial deviation of finger,HP:0009466,1,0,68,72,4,3143,"WBGENE00001695,WBGENE00006953,WBGENE00007977,WBGENE00008527"
HP,Deviation of the 2nd finger,HP:0009468,1,0,28,72,2,3143,"WBGENE00001695,WBGENE00006953"
HP,Branchial cyst,HP:0009796,1,0,13,72,1,3143,WBGENE00008527
HP,Aplasia/Hypoplasia of the phalanges of the thumb,HP:0009658,1,0,66,72,3,3143,"WBGENE00001695,WBGENE00006953,WBGENE00008527"
HP,Partial absence of thumb,HP:0009659,1,0,20,72,2,3143,"WBGENE00001695,WBGENE00006953"
HP,Short phalanx of the thumb,HP:0009660,1,0,62,72,3,3143,"WBGENE00001695,WBGENE00006953,WBGENE00008527"
HP,Contracture of the distal interphalangeal joint of the fingers,HP:0009697,1,0,12,72,1,3143,WBGENE00008527
HP,Branchial anomaly,HP:0009794,1,0,22,72,1,3143,WBGENE00008527
HP,Osteolytic defects of the hand bones,HP:0009699,1,0,25,72,2,3143,"WBGENE00013072,WBGENE00016306"
HP,Teratoma,HP:0009792,1,0,12,72,1,3143,WBGENE00008527
HP,Short thumb,HP:0009778,1,0,119,72,3,3143,"WBGENE00001695,WBGENE00006953,WBGENE00008527"
HP,Finger symphalangism,HP:0009700,1,0,23,72,2,3143,"WBGENE00001695,WBGENE00006953"
HP,Short proximal phalanx of thumb,HP:0009638,1,0,18,72,2,3143,"WBGENE00001695,WBGENE00006953"
HP,Carpal synostosis,HP:0009702,1,0,39,72,2,3143,"WBGENE00001695,WBGENE00006953"
HP,Renal neoplasm,HP:0009726,1,0,111,72,2,3143,"WBGENE00008527,WBGENE00016777"
HP,Glioma,HP:0009733,1,0,23,72,1,3143,WBGENE00008527
HP,Abnormal antihelix morphology,HP:0009738,1,0,74,72,1,3143,WBGENE00001642
HP,Large earlobe,HP:0009748,1,0,39,72,1,3143,WBGENE00008527
HP,Absent thumb,HP:0009777,1,0,38,72,4,3143,"WBGENE00004750,WBGENE00006556,WBGENE00006557,WBGENE00006559"
HP,Ankyloblepharon,HP:0009755,1,0,14,72,1,3143,WBGENE00007977
HP,Limb pain,HP:0009763,1,0,44,72,1,3143,WBGENE00016778
HP,Low hanging columella,HP:0009765,1,0,34,72,1,3143,WBGENE00008527
HP,Symphalangism affecting the phalanges of the hand,HP:0009773,1,0,29,72,2,3143,"WBGENE00001695,WBGENE00006953"
HP,Osteolytic defects of the phalanges of the hand,HP:0009771,1,0,25,72,2,3143,"WBGENE00013072,WBGENE00016306"
HP,Abnormal epididymis morphology,HP:0009714,1,0,33,72,2,3143,"WBGENE00001695,WBGENE00006953"
HP,Cholesteatoma,HP:0009797,1,0,16,72,1,3143,WBGENE00008527
HP,Supernumerary spleens,HP:0009799,1,0,44,72,1,3143,WBGENE00008527
HP,Maternal diabetes,HP:0009800,1,0,227,72,11,3143,"WBGENE00001062,WBGENE00001695,WBGENE00003601,WBGENE00003662,WBGENE00003671,WBGENE00006471,WBGENE00006953,WBGENE00008158,WBGENE00010017,WBGENE00013067,WBGENE00021617"
HP,Aplasia involving bones of the upper limbs,HP:0009823,1,0,26,72,2,3143,"WBGENE00001695,WBGENE00006953"
HP,Forearm undergrowth,HP:0009821,1,0,58,72,6,3143,"WBGENE00001695,WBGENE00004750,WBGENE00006556,WBGENE00006557,WBGENE00006559,WBGENE00006953"
HP,Aplasia/hypoplasia of the extremities,HP:0009815,1,0,576,72,12,3143,"WBGENE00001642,WBGENE00001695,WBGENE00004750,WBGENE00006556,WBGENE00006557,WBGENE00006559,WBGENE00006953,WBGENE00007887,WBGENE00007977,WBGENE00008527,WBGENE00013072,WBGENE00016306"
HP,Abnormality of the elbow,HP:0009811,1,0,230,72,13,3143,"WBGENE00001642,WBGENE00004026,WBGENE00004750,WBGENE00006556,WBGENE00006557,WBGENE00006559,WBGENE00007753,WBGENE00008527,WBGENE00009695,WBGENE00011779,WBGENE00012233,WBGENE00013184,WBGENE00016778"
HP,Abnormality of upper limb joint,HP:0009810,1,0,600,72,25,3143,"WBGENE00001062,WBGENE00001642,WBGENE00001695,WBGENE00003601,WBGENE00003662,WBGENE00003671,WBGENE00004026,WBGENE00004507,WBGENE00004750,WBGENE00006471,WBGENE00006556,WBGENE00006557,WBGENE00006559,WBGENE00006953,WBGENE00007753,WBGENE00008158,WBGENE00008527,WBGENE00009695,WBGENE00010017,WBGENE00011779,WBGENE00012233,WBGENE00013067,WBGENE00013184,WBGENE00016778,WBGENE00021617"
HP,Abnormal upper limb metaphysis morphology,HP:0009809,1,0,33,72,1,3143,WBGENE00008527
HP,Tooth agenesis,HP:0009804,1,0,286,72,11,3143,"WBGENE00001642,WBGENE00004750,WBGENE00006556,WBGENE00006557,WBGENE00006559,WBGENE00007699,WBGENE00008527,WBGENE00013072,WBGENE00016306,WBGENE00019406,WBGENE00020354"
HP,Short phalanx of finger,HP:0009803,1,0,209,72,8,3143,"WBGENE00001642,WBGENE00001695,WBGENE00004750,WBGENE00006556,WBGENE00006557,WBGENE00006559,WBGENE00006953,WBGENE00008527"
HP,Aplasia of the phalanges of the hand,HP:0009802,1,0,26,72,2,3143,"WBGENE00001695,WBGENE00006953"
HP,Joint contracture of the hand,HP:0009473,1,0,282,72,14,3143,"WBGENE00001642,WBGENE00001695,WBGENE00004507,WBGENE00004750,WBGENE00006556,WBGENE00006557,WBGENE00006559,WBGENE00006953,WBGENE00008527,WBGENE00009695,WBGENE00011779,WBGENE00012233,WBGENE00013184,WBGENE00016778"
HP,Deviation of the hand or of fingers of the hand,HP:0009484,1,0,411,72,10,3143,"WBGENE00001642,WBGENE00001695,WBGENE00004750,WBGENE00006556,WBGENE00006557,WBGENE00006559,WBGENE00006953,WBGENE00007977,WBGENE00008527,WBGENE00020354"
HP,Radial deviation of the hand or of fingers of the hand,HP:0009485,1,0,73,72,4,3143,"WBGENE00001695,WBGENE00006953,WBGENE00007977,WBGENE00008527"
HP,Ulnar deviation of the hand,HP:0009487,1,0,29,72,2,3143,"WBGENE00007977,WBGENE00020354"
HP,Abnormality of the hairline,HP:0009553,1,0,403,72,16,3143,"WBGENE00001062,WBGENE00001642,WBGENE00003601,WBGENE00003662,WBGENE00003671,WBGENE00004750,WBGENE00005013,WBGENE00006471,WBGENE00006556,WBGENE00006557,WBGENE00006559,WBGENE00008158,WBGENE00008527,WBGENE00010017,WBGENE00013067,WBGENE00021617"
HP,Astrocytoma,HP:0009592,1,0,19,72,1,3143,WBGENE00008527
HP,Thumb contracture,HP:0009600,1,0,12,72,1,3143,WBGENE00016778
HP,Aplasia/Hypoplasia of the thumb,HP:0009601,1,0,139,72,7,3143,"WBGENE00001695,WBGENE00004750,WBGENE00006556,WBGENE00006557,WBGENE00006559,WBGENE00006953,WBGENE00008527"
HP,Abnormality of thumb phalanx,HP:0009602,1,0,203,72,9,3143,"WBGENE00001642,WBGENE00001695,WBGENE00004750,WBGENE00006556,WBGENE00006557,WBGENE00006559,WBGENE00006953,WBGENE00007977,WBGENE00008527"
HP,Deviation of the thumb,HP:0009603,1,0,54,72,1,3143,WBGENE00007977
HP,Abnormality of the distal phalanx of the thumb,HP:0009617,1,0,66,72,3,3143,"WBGENE00001695,WBGENE00006953,WBGENE00007977"
HP,Abnormality of the proximal phalanx of the thumb,HP:0009618,1,0,20,72,2,3143,"WBGENE00001695,WBGENE00006953"
HP,Interphalangeal thumb joint contracture,HP:0009626,1,0,12,72,1,3143,WBGENE00016778
HP,Aplasia/Hypoplasia of the proximal phalanx of the thumb,HP:0009629,1,0,18,72,2,3143,"WBGENE00001695,WBGENE00006953"
HP,Radial deviation of the 2nd finger,HP:0009467,1,0,21,72,2,3143,"WBGENE00001695,WBGENE00006953"
HP,Abnormality of the distal phalanges of the toes,HP:0010182,1,0,28,72,4,3143,"WBGENE00004750,WBGENE00006556,WBGENE00006557,WBGENE00006559"
HP,Underdeveloped supraorbital ridges,HP:0009891,1,0,52,72,4,3143,"WBGENE00004750,WBGENE00006556,WBGENE00006557,WBGENE00006559"
HP,Chronic oral candidiasis,HP:0009098,1,0,185,72,9,3143,"WBGENE00001062,WBGENE00003601,WBGENE00003662,WBGENE00003671,WBGENE00006471,WBGENE00008158,WBGENE00010017,WBGENE00013067,WBGENE00021617"
HP,Bilateral sensorineural hearing impairment,HP:0008619,1,0,71,72,2,3143,"WBGENE00012516,WBGENE00019406"
HP,Severe sensorineural hearing impairment,HP:0008625,1,0,15,72,1,3143,WBGENE00008527
HP,Abnormality of the stapes,HP:0008628,1,0,19,72,2,3143,"WBGENE00007753,WBGENE00008527"
HP,Aplasia/Hypoplasia of the fallopian tube,HP:0008655,1,0,21,72,2,3143,"WBGENE00001695,WBGENE00006953"
HP,Urethral stenosis,HP:0008661,1,0,49,72,4,3143,"WBGENE00004750,WBGENE00006556,WBGENE00006557,WBGENE00006559"
HP,Clitoral hypertrophy,HP:0008665,1,0,232,72,10,3143,"WBGENE00001062,WBGENE00003601,WBGENE00003662,WBGENE00003671,WBGENE00006471,WBGENE00008158,WBGENE00010017,WBGENE00013067,WBGENE00016777,WBGENE00021617"
HP,Short 1st metacarpal,HP:0010034,1,0,25,72,1,3143,WBGENE00008527
HP,Aplasia/Hypoplasia of the 1st metacarpal,HP:0010026,1,0,45,72,3,3143,"WBGENE00001695,WBGENE00006953,WBGENE00008527"
HP,"Gonadal dysgenesis, male",HP:0008668,1,0,18,72,2,3143,"WBGENE00001695,WBGENE00006953"
HP,Abnormal spermatogenesis,HP:0008669,1,0,909,72,24,3143,"WBGENE00001062,WBGENE00001642,WBGENE00001695,WBGENE00003601,WBGENE00003662,WBGENE00003671,WBGENE00003701,WBGENE00004507,WBGENE00004750,WBGENE00005013,WBGENE00006471,WBGENE00006556,WBGENE00006557,WBGENE00006559,WBGENE00006953,WBGENE00007977,WBGENE00008158,WBGENE00008186,WBGENE00008527,WBGENE00010017,WBGENE00011779,WBGENE00013067,WBGENE00016777,WBGENE00021617"
HP,Aplasia of the 1st metacarpal,HP:0010035,1,0,20,72,2,3143,"WBGENE00001695,WBGENE00006953"
HP,Renal hypoplasia/aplasia,HP:0008678,1,0,405,72,16,3143,"WBGENE00001062,WBGENE00001695,WBGENE00003601,WBGENE00003662,WBGENE00003671,WBGENE00004750,WBGENE00006471,WBGENE00006556,WBGENE00006557,WBGENE00006559,WBGENE00006953,WBGENE00008158,WBGENE00008527,WBGENE00010017,WBGENE00013067,WBGENE00021617"
HP,Abnormality of the epiphysis of the 1st metacarpal,HP:0010014,1,0,17,72,2,3143,"WBGENE00001695,WBGENE00006953"
HP,Aplasia/hypoplasia of the uterus,HP:0008684,1,0,90,72,4,3143,"WBGENE00001695,WBGENE00006953,WBGENE00008527,WBGENE00016777"
HP,Bilateral cryptorchidism,HP:0008689,1,0,39,72,1,3143,WBGENE00008527
HP,Hypoplasia of the fallopian tube,HP:0008697,1,0,18,72,2,3143,"WBGENE00001695,WBGENE00006953"
HP,Testicular dysgenesis,HP:0008715,1,0,43,72,3,3143,"WBGENE00001695,WBGENE00006953,WBGENE00016777"
HP,"Gonadal dysgenesis with female appearance, male",HP:0008723,1,0,21,72,2,3143,"WBGENE00001695,WBGENE00006953"
HP,Abnormal 5th metacarpal morphology,HP:0010013,1,0,27,72,4,3143,"WBGENE00004750,WBGENE00006556,WBGENE00006557,WBGENE00006559"
HP,Hypoplasia of the ovary,HP:0008724,1,0,85,72,4,3143,"WBGENE00001695,WBGENE00006953,WBGENE00008527,WBGENE00016777"
HP,Hypoplasia of the vagina,HP:0008726,1,0,24,72,1,3143,WBGENE00016777
HP,"Female external genitalia in individual with 46,XY karyotype",HP:0008730,1,0,25,72,1,3143,WBGENE00016777
HP,Cone-shaped epiphysis of the 1st metacarpal,HP:0010017,1,0,17,72,2,3143,"WBGENE00001695,WBGENE00006953"
HP,Aplasia/Hypoplasia of the 3rd metacarpal,HP:0010039,1,0,22,72,4,3143,"WBGENE00004750,WBGENE00006556,WBGENE00006557,WBGENE00006559"
HP,Aplasia/Hypoplasia of the 4th metacarpal,HP:0010042,1,0,49,72,5,3143,"WBGENE00004750,WBGENE00006556,WBGENE00006557,WBGENE00006559,WBGENE00007887"
HP,Short 4th metacarpal,HP:0010044,1,0,41,72,1,3143,WBGENE00007887
HP,Aplasia/Hypoplasia of the phalanges of the toes,HP:0010173,1,0,43,72,2,3143,"WBGENE00001695,WBGENE00006953"
HP,Neuropathic spinal arthropathy,HP:0008443,1,0,21,72,1,3143,WBGENE00011779
HP,Abnormal toe phalanx morphology,HP:0010161,1,0,117,72,6,3143,"WBGENE00001695,WBGENE00004750,WBGENE00006556,WBGENE00006557,WBGENE00006559,WBGENE00006953"
HP,Short phalanx of hallux,HP:0010111,1,0,18,72,2,3143,"WBGENE00001695,WBGENE00006953"
HP,Short hallux,HP:0010109,1,0,41,72,3,3143,"WBGENE00001695,WBGENE00006953,WBGENE00008527"
HP,Short proximal phalanx of hallux,HP:0010107,1,0,18,72,2,3143,"WBGENE00001695,WBGENE00006953"
HP,Aplasia/Hypoplasia of the proximal phalanx of the hallux,HP:0010085,1,0,18,72,2,3143,"WBGENE00001695,WBGENE00006953"
HP,Aplasia/Hypoplasia of the phalanges of the hallux,HP:0010058,1,0,22,72,2,3143,"WBGENE00001695,WBGENE00006953"
HP,Abnormal hallux phalanx morphology,HP:0010057,1,0,61,72,6,3143,"WBGENE00001695,WBGENE00004750,WBGENE00006556,WBGENE00006557,WBGENE00006559,WBGENE00006953"
HP,No permanent dentition,HP:0008498,1,0,12,72,1,3143,WBGENE00008527
HP,High hypermetropia,HP:0008499,1,0,77,72,1,3143,WBGENE00008186
HP,Broad hallux,HP:0010055,1,0,77,72,5,3143,"WBGENE00004750,WBGENE00006556,WBGENE00006557,WBGENE00006559,WBGENE00008527"
HP,Bilateral conductive hearing impairment,HP:0008513,1,0,13,72,1,3143,WBGENE00008527
HP,Aplasia/Hypoplasia involving the vertebral column,HP:0008518,1,0,63,72,4,3143,"WBGENE00004750,WBGENE00006556,WBGENE00006557,WBGENE00006559"
HP,Broad phalanges of the hand,HP:0009768,1,0,116,72,6,3143,"WBGENE00001642,WBGENE00004750,WBGENE00006556,WBGENE00006557,WBGENE00006559,WBGENE00008527"
HP,Abnormal morphology of the proximal phalanx of the hallux,HP:0010052,1,0,18,72,2,3143,"WBGENE00001695,WBGENE00006953"
HP,Abnormally folded helix,HP:0008544,1,0,97,72,5,3143,"WBGENE00004750,WBGENE00006556,WBGENE00006557,WBGENE00006559,WBGENE00008527"
HP,Microtia,HP:0008551,1,0,148,72,6,3143,"WBGENE00004750,WBGENE00006556,WBGENE00006557,WBGENE00006559,WBGENE00008527,WBGENE00011779"
HP,Mild conductive hearing impairment,HP:0008598,1,0,13,72,2,3143,"WBGENE00013072,WBGENE00016306"
HP,Short metacarpal,HP:0010049,1,0,147,72,5,3143,"WBGENE00001642,WBGENE00001695,WBGENE00006953,WBGENE00007887,WBGENE00008527"
HP,Morphological abnormality of the middle ear,HP:0008609,1,0,29,72,2,3143,"WBGENE00007753,WBGENE00008527"
HP,Aplasia/Hypoplasia of the 5th metacarpal,HP:0010045,1,0,24,72,4,3143,"WBGENE00004750,WBGENE00006556,WBGENE00006557,WBGENE00006559"
HP,Infantile sensorineural hearing impairment,HP:0008610,1,0,11,72,1,3143,WBGENE00008527
HP,Renal hypophosphatemia,HP:0008732,1,0,3,72,1,3143,WBGENE00007753
HP,Abnormality of the crus of the helix,HP:0009895,1,0,27,72,1,3143,WBGENE00008527
HP,Abnormal 4th metacarpal morphology,HP:0010012,1,0,52,72,5,3143,"WBGENE00004750,WBGENE00006556,WBGENE00006557,WBGENE00006559,WBGENE00007887"
HP,Hypoplasia of penis,HP:0008736,1,0,420,72,13,3143,"WBGENE00001695,WBGENE00003701,WBGENE00004750,WBGENE00006556,WBGENE00006557,WBGENE00006559,WBGENE00006953,WBGENE00007977,WBGENE00008186,WBGENE00008527,WBGENE00011779,WBGENE00016777,WBGENE00016778"
HP,Pelvic girdle amyotrophy,HP:0008946,1,0,10,72,3,3143,"WBGENE00009695,WBGENE00012233,WBGENE00013184"
HP,Infantile muscular hypotonia,HP:0008947,1,0,253,72,5,3143,"WBGENE00000002,WBGENE00001695,WBGENE00006953,WBGENE00011779,WBGENE00019406"
HP,Intrinsic hand muscle atrophy,HP:0008954,1,0,45,72,1,3143,WBGENE00012516
HP,Distal upper limb muscle weakness,HP:0008959,1,0,59,72,2,3143,"WBGENE00012516,WBGENE00016778"
HP,Muscle hypertrophy of the lower extremities,HP:0008968,1,0,51,72,5,3143,"WBGENE00009695,WBGENE00010254,WBGENE00011779,WBGENE00012233,WBGENE00013184"
HP,Decreased activity of mitochondrial respiratory chain,HP:0008972,1,0,112,72,1,3143,WBGENE00019406
HP,Calf muscle hypertrophy,HP:0008981,1,0,48,72,5,3143,"WBGENE00009695,WBGENE00010254,WBGENE00011779,WBGENE00012233,WBGENE00013184"
HP,Proximal muscle weakness in upper limbs,HP:0008997,1,0,42,72,1,3143,WBGENE00004507
HP,Weakness of the intrinsic hand muscles,HP:0009005,1,0,11,72,1,3143,WBGENE00004507
HP,Loss of gluteal subcutaneous adipose tissue,HP:0009017,1,0,177,72,9,3143,"WBGENE00001062,WBGENE00003601,WBGENE00003662,WBGENE00003671,WBGENE00006471,WBGENE00008158,WBGENE00010017,WBGENE00013067,WBGENE00021617"
HP,Aplasia/Hypoplasia involving the nose,HP:0009924,1,0,115,72,5,3143,"WBGENE00004750,WBGENE00006556,WBGENE00006557,WBGENE00006559,WBGENE00008527"
HP,Abdominal wall muscle weakness,HP:0009023,1,0,185,72,12,3143,"WBGENE00001062,WBGENE00003601,WBGENE00003662,WBGENE00003671,WBGENE00006471,WBGENE00008158,WBGENE00009695,WBGENE00010017,WBGENE00012233,WBGENE00013067,WBGENE00013184,WBGENE00021617"
HP,Difficulty running,HP:0009046,1,0,35,72,1,3143,WBGENE00004507
HP,Distal lower limb muscle weakness,HP:0009053,1,0,102,72,2,3143,"WBGENE00002260,WBGENE00016778"
HP,Scapular muscle atrophy,HP:0009060,1,0,15,72,3,3143,"WBGENE00009695,WBGENE00012233,WBGENE00013184"
HP,Cyclopia,HP:0009914,1,0,34,72,2,3143,"WBGENE00001695,WBGENE00006953"
HP,Infantile axial hypotonia,HP:0009062,1,0,55,72,2,3143,"WBGENE00001695,WBGENE00006953"
HP,Weakness of long finger extensor muscles,HP:0009077,1,0,10,72,2,3143,"WBGENE00004507,WBGENE00012516"
HP,Uplifted earlobe,HP:0009909,1,0,53,72,1,3143,WBGENE00008527
HP,Attached earlobe,HP:0009907,1,0,12,72,1,3143,WBGENE00008527
HP,Aplasia/Hypoplasia of the earlobes,HP:0009906,1,0,55,72,5,3143,"WBGENE00004750,WBGENE00006556,WBGENE00006557,WBGENE00006559,WBGENE00008527"
HP,Prominent crus of helix,HP:0009899,1,0,13,72,1,3143,WBGENE00008527
HP,Foot dorsiflexor weakness,HP:0009027,1,0,105,72,2,3143,"WBGENE00012516,WBGENE00016778"
HP,Distal lower limb amyotrophy,HP:0008944,1,0,61,72,1,3143,WBGENE00016778
HP,Axial hypotonia,HP:0008936,1,0,272,72,3,3143,"WBGENE00001695,WBGENE00006953,WBGENE00008527"
HP,Abnormal columella morphology,HP:0009929,1,0,86,72,3,3143,"WBGENE00001695,WBGENE00006953,WBGENE00008527"
HP,Abnormal 3rd metacarpal morphology,HP:0010011,1,0,22,72,4,3143,"WBGENE00004750,WBGENE00006556,WBGENE00006557,WBGENE00006559"
HP,Laryngeal hypoplasia,HP:0008749,1,0,9,72,1,3143,WBGENE00007977
HP,No social interaction,HP:0008763,1,0,13,72,1,3143,WBGENE00019406
HP,Obsessive-compulsive trait,HP:0008770,1,0,28,72,1,3143,WBGENE00008527
HP,Aplasia/Hypoplasia of the ear,HP:0008771,1,0,169,72,6,3143,"WBGENE00004750,WBGENE00006556,WBGENE00006557,WBGENE00006559,WBGENE00008527,WBGENE00011779"
HP,Abnormal 1st metacarpal morphology,HP:0010009,1,0,59,72,3,3143,"WBGENE00001695,WBGENE00006953,WBGENE00008527"
HP,Partial duplication of the phalanx of hand,HP:0009999,1,0,38,72,4,3143,"WBGENE00004750,WBGENE00006556,WBGENE00006557,WBGENE00006559"
HP,Aplasia/Hypoplasia of the external ear,HP:0008772,1,0,166,72,6,3143,"WBGENE00004750,WBGENE00006556,WBGENE00006557,WBGENE00006559,WBGENE00008527,WBGENE00011779"
HP,Abnormal renal artery morphology,HP:0008776,1,0,28,72,1,3143,WBGENE00007753
HP,Duplication of phalanx of hand,HP:0009997,1,0,184,72,9,3143,"WBGENE00001695,WBGENE00004750,WBGENE00005013,WBGENE00006556,WBGENE00006557,WBGENE00006559,WBGENE00006953,WBGENE00008527,WBGENE00019406"
HP,Partial duplication of thumb phalanx,HP:0009944,1,0,36,72,4,3143,"WBGENE00004750,WBGENE00006556,WBGENE00006557,WBGENE00006559"
HP,Cone-shaped capital femoral epiphysis,HP:0008789,1,0,18,72,2,3143,"WBGENE00001695,WBGENE00006953"
HP,Duplication of thumb phalanx,HP:0009942,1,0,44,72,4,3143,"WBGENE00004750,WBGENE00006556,WBGENE00006557,WBGENE00006559"
HP,Facial hirsutism,HP:0009937,1,0,21,72,4,3143,"WBGENE00004750,WBGENE00006556,WBGENE00006557,WBGENE00006559"
HP,Hypoplastic pubic ramus,HP:0008830,1,0,14,72,1,3143,WBGENE00008527
HP,Severe postnatal growth retardation,HP:0008850,1,0,33,72,1,3143,WBGENE00008527
HP,Feeding difficulties in infancy,HP:0008872,1,0,541,72,20,3143,"WBGENE00000213,WBGENE00001695,WBGENE00004507,WBGENE00004750,WBGENE00006556,WBGENE00006557,WBGENE00006559,WBGENE00006953,WBGENE00008464,WBGENE00008527,WBGENE00008883,WBGENE00010692,WBGENE00011779,WBGENE00015893,WBGENE00016541,WBGENE00017050,WBGENE00019086,WBGENE00019562,WBGENE00020071,WBGENE00022707"
HP,Single naris,HP:0009932,1,0,34,72,2,3143,"WBGENE00001695,WBGENE00006953"
HP,Disproportionate short-limb short stature,HP:0008873,1,0,139,72,10,3143,"WBGENE00001642,WBGENE00001695,WBGENE00004750,WBGENE00006556,WBGENE00006557,WBGENE00006559,WBGENE00006953,WBGENE00008527,WBGENE00013072,WBGENE00016306"
HP,Adipose tissue loss,HP:0008887,1,0,198,72,9,3143,"WBGENE00001062,WBGENE00003601,WBGENE00003662,WBGENE00003671,WBGENE00006471,WBGENE00008158,WBGENE00010017,WBGENE00013067,WBGENE00021617"
HP,Enlarged naris,HP:0009931,1,0,14,72,1,3143,WBGENE00008527
HP,Postnatal growth retardation,HP:0008897,1,0,203,72,2,3143,"WBGENE00001642,WBGENE00008527"
HP,Rhizomelia,HP:0008905,1,0,82,72,7,3143,"WBGENE00004750,WBGENE00006556,WBGENE00006557,WBGENE00006559,WBGENE00008527,WBGENE00013072,WBGENE00016306"
HP,Decreased testicular size,HP:0008734,1,0,104,72,2,3143,"WBGENE00005013,WBGENE00016777"
HP,Abnormality of lower limb epiphysis morphology,HP:0006500,1,0,111,72,6,3143,"WBGENE00001695,WBGENE00004750,WBGENE00006556,WBGENE00006557,WBGENE00006559,WBGENE00006953"
HP,Social and occupational deterioration,HP:0007086,1,0,44,72,2,3143,"WBGENE00011159,WBGENE00014162"
HP,Rapidly progressive,HP:0003678,1,0,231,72,8,3143,"WBGENE00001062,WBGENE00003662,WBGENE00003671,WBGENE00006471,WBGENE00008158,WBGENE00010017,WBGENE00013067,WBGENE00021617"
HP,Pace of progression,HP:0003679,1,0,690,72,26,3143,"WBGENE00000788,WBGENE00001062,WBGENE00001500,WBGENE00002260,WBGENE00003662,WBGENE00003671,WBGENE00006471,WBGENE00008158,WBGENE00008464,WBGENE00008527,WBGENE00008883,WBGENE00010017,WBGENE00010692,WBGENE00012516,WBGENE00013067,WBGENE00013072,WBGENE00015893,WBGENE00016306,WBGENE00016541,WBGENE00016778,WBGENE00017050,WBGENE00019086,WBGENE00019562,WBGENE00020071,WBGENE00021617,WBGENE00022707"
HP,Centrally nucleated skeletal muscle fibers,HP:0003687,1,0,39,72,3,3143,"WBGENE00009695,WBGENE00012233,WBGENE00013184"
